N-gram,Validation,FE,SMOTE?,F1
3,No Cross-Validation,TF-IDF,No SMOTE,0.38
3,No Cross-Validation,TF-IDF,SMOTE,0.42
3,No Cross-Validation,TF,No SMOTE,0.57
3,No Cross-Validation,TF,SMOTE,0.54
3,Cross-Validation,TF-IDF,No SMOTE,0.29
3,Cross-Validation,TF-IDF,SMOTE,0.96
3,Cross-Validation,TF,No SMOTE,0.51
3,Cross-Validation,TF,SMOTE,0.78
